answer	clue
ABUDEFDUFSAXATILIS	large blue-grey black-striped damselfish; nearly worldwide
ABUDHABI	a sheikhdom of eastern Arabia and capital of the United Arab Emirates
ABUHAFSALMASRIBRIGADES	a terrorist group that has worked with Al Qaeda; claimed responsibility for attacks in Iraq and Turkey
ABUJA	capital of Nigeria in the center of the country
ABUKIR	a bay on the Mediterranean Sea in northern Egypt
ABUKIRBAY	a bay on the Mediterranean Sea in northern Egypt
ABULIA	a loss of will power
ABULIC	suffering from abulia; showing abnormal inability to act or make decisions
ABUNDANCE	the property of a more than adequate quantity or supply
ABUNDANT	present in great quantity
ABUNDANTLY	in an abundant manner
ABUQIRBAY	a bay on the Mediterranean Sea in northern Egypt
ABUSE	change the inherent purpose or function of something
ABUSED	subjected to cruel treatment
ABUSER	someone who abuses
ABUSIVE	characterized by physical or psychological maltreatment
ABUSIVELY	in an abusive manner
ABUT	lie adjacent to another or share a boundary
ABUTILON	herbs or shrubs or small trees: flowering maple; Indian mallow
ABUTMENT	a masonry support that touches and directly receives thrust or pressure of an arch or bridge
ABUTMENTARCH	an arch supported by an abutment
ABUTTER	the owner of contiguous property
ABUZZ	noisy like the sound of a bee
ABVOLT	a unit of potential equal to one-hundred-millionth of a volt
ABY	make amends for
ABYDOS	an ancient Greek colony on the Asiatic side of the Dardanelles; scene of the legend of Hero and Leander
ABYE	make amends for
ABYLA	a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
ABYMORITZWARBURG	German art historian (1866-1929)
ABYSMAL	resembling an abyss in depth; so deep as to be unmeasurable
ABYSMALLY	in a terrible manner
ABYSSAL	resembling an abyss in depth; so deep as to be unmeasurable
ABYSSALZONE	the deep sea (2000 meters or more) where there is no light
ABYSSINIA	Ethiopia is a republic in northeastern Africa on the Red Sea; formerly called Abyssinia
ABYSSINIAN	a small slender short-haired breed of African origin having brownish fur with a reddish undercoat
ABYSSINIANCAT	a small slender short-haired breed of African origin having brownish fur with a reddish undercoat
ABYWARBURG	German art historian (1866-1929)
ABZU	father of the gods and consort of Tiamat
ACACIA	any of various spiny trees or shrubs of the genus Acacia
ACACIAAURICULIFORMIS	Australian tree that yields tanning materials
ACACIACAMBEGEI	scrubby Australian acacia having extremely foul-smelling blossoms
ACACIADEALBATA	evergreen Australasian tree having white or silvery bark and young leaves and yellow flowers
ACACIAFARNESIANA	tropical American thorny shrub or small tree; fragrant yellow flowers used in making perfumery
ACACIAMELANOXYLON	tall Australian acacia yielding highly valued black timber
ACACIAPYCNANTHA	shrubby Australian tree having clusters of fragrant golden yellow flowers; widely cultivated as an ornamental
ACACIAXANTHOPHLOEA	African tree supposed to mark healthful regions
ACADEME	the academic world
ACADEMIA	the academic world
ACADEMIC	hypothetical or theoretical and not expected to produce an immediate or practical result
ACADEMICADMINISTRATOR	an administrator in a college or university
ACADEMICALLY	in regard to academic matters
ACADEMICART	a style of painting and sculpture produced under the influence of European academies of art.
ACADEMICCOSTUME	a costume worn on formal occasions by the faculty or students of a university or college
ACADEMICDEPARTMENT	a division of a school that is responsible for a given subject
ACADEMICGOWN	a gown worn by academics or judges
ACADEMICIAN	an educator who works at a college or university
ACADEMICIANSHIP	the position of member of an honorary academy
ACADEMICISM	orthodoxy of a scholastic variety
ACADEMICPROGRAM	(education) a program of education in liberal arts and sciences (usually in preparation for higher education)
ACADEMICRELATION	a professional relation between instructors and those they instruct
ACADEMICREQUIREMENT	a requirement for admission to or completion of an academic program
ACADEMICROBE	a gown worn by academics or judges
ACADEMICSESSION	the time during which a school holds classes
ACADEMICTERM	the time during which a school holds classes
ACADEMICYEAR	the period of time each year when the school is open and people are studying
ACADEMISM	orthodoxy of a scholastic variety
ACADEMY	a learned establishment for the advancement of knowledge
ACADIA	the French-speaking part of the Canadian Maritime Provinces
ACADIAN	an early French settler in the Maritimes
ACALYPHA	a genus of herbs and shrubs belonging to the family Euphorbiaceae
ACALYPHAVIRGINICA	weedy herb of eastern North America
ACANTHA	any sharply pointed projection
ACANTHACEAE	widely distributed herbs and shrubs and trees; sometimes placed in the order Scrophulariales
ACANTHION	the craniometric point at the anterior extremity of the intermaxillary suture
ACANTHISITTA	a genus of Xenicidae
ACANTHISITTACHLORIS	small green-and-bronze bird
ACANTHISITTIDAE	alternative names for the family comprising the New Zealand wrens
ACANTHOCEPHALA	phylum or class of elongated wormlike parasites that live in the intestines of vertebrates: spiny-headed worms
ACANTHOCEREUS	mostly trailing cacti having nocturnal white flowers; tropical America and Caribbean region
ACANTHOCEREUSPENTAGONUS	cactus of the southwestern United States and northern Mexico having edible juicy fruit
ACANTHOCEREUSTETRAGONUS	cactus of the southwestern United States and northern Mexico having edible juicy fruit
ACANTHOCYBIUM	wahoos
ACANTHOCYBIUMSOLANDRI	large fast-moving predacious food and game fish; found worldwide
ACANTHOCYTE	an abnormal red blood cell that has thorny projections of protoplasm
ACANTHOCYTOSIS	the presence of acanthocytes in the blood stream (as in abetalipoproteinemia)
ACANTHOID	shaped like a spine or thorn
ACANTHOLYSIS	a breakdown of a cell layer in the epidermis (as in pemphigus)
ACANTHOMA	a neoplasm originating in the epidermis
ACANTHOPHIS	Australian elapid snakes
ACANTHOPHISANTARCTICUS	venomous Australian snake resembling an adder
ACANTHOPTERYGIAN	a teleost fish with fins that are supported by sharp inflexible rays
ACANTHOPTERYGII	teleost fishes having fins with sharp bony rays
ACANTHOSCELIDES	a genus of Bruchidae containing the bean weevils (Acanthoscelides)
ACANTHOSCELIDESOBTECTUS	larvae live in and feed on growing or stored beans
ACANTHOSIS	an abnormal but benign thickening of the prickle-cell layer of the skin (as in psoriasis)
ACANTHOSISNIGRICANS	a skin disease characterized by dark wartlike patches in the body folds; can be benign or malignant
