answer	clue
HARMONIZABLE	capable of being made harmonious or consistent
HARMONIZATION	singing in harmony
HARMONIZE	bring into consonance, harmony, or accord while making music or singing
HARMONIZED	involving or characterized by harmony
HARMONIZER	a mediator who brings one thing into harmonious agreement with another
HARMONY	compatibility in opinion and action
HARMSWORTH	British newspaper publisher (1865-1922)
HARNESS	keep in check
HARNESSED	brought under control and put to use
HARNESSEDANTELOPE	any of several antelopes of the genus Tragelaphus having striped markings resembling a harness
HARNESSHORSE	horse used for pulling vehicles
HARNESSRACE	a horse race between people riding in sulkies behind horses that are trotting or pacing
HARNESSRACING	a horse race between people riding in sulkies behind horses that are trotting or pacing
HAROLDCLAYTONLLOYD	United States comic actor in silent films; he used physical danger as a source of comedy (1893-1971)
HAROLDCLAYTONUREY	United States chemist who discovered deuterium (1893-1981)
HAROLDHAREFOOT	illegitimate son of Canute who seized the throne of England in 1037 (died in 1040)
HAROLDHARTCRANE	United States poet (1899-1932)
HAROLDHIRSCHSPRUNG	Danish pediatrician (1830-1916)
HAROLDI	illegitimate son of Canute who seized the throne of England in 1037 (died in 1040)
HAROLDLLOYD	United States comic actor in silent films; he used physical danger as a source of comedy (1893-1971)
HAROLDNICOLSON	English diplomat and author (1886-1968)
HAROLDPINTER	English dramatist whose plays are characterized by silences and the use of inaction (born in 1930)
HAROLDUREY	United States chemist who discovered deuterium (1893-1981)
HARP	come back to
HARPER	someone who plays the harp
HARPIA	a genus of Accipitridae
HARPIAHARPYJA	large black-and-white crested eagle of tropical America
HARPIST	someone who plays the harp
HARPO	United States comedian; one of four brothers who made motion pictures together (1893-1964)
HARPOON	spear with a harpoon
HARPOONEER	someone who launches harpoons
HARPOONER	someone who launches harpoons
HARPOONGUN	a cannon or similar gun that fires harpoons
HARPOONLINE	a strong rope for making the catch fast to the harpooner's boat
HARPOONLOG	a cylindrical log with a device that registers distance
HARPSEAL	common Arctic seal; the young are all white
HARPSHAPED	shaped in the form of a harp
HARPSICHORD	a clavier with strings that are plucked by plectra mounted on pivots
HARPSICHORDIST	someone who plays the harpsichord
HARPULLA	fast-growing tree of India and East Indies yielding a wood used especially for building
HARPULLIA	any of various tree of the genus Harpullia
HARPULLIACUPANIOIDES	fast-growing tree of India and East Indies yielding a wood used especially for building
HARPULLIAPENDULA	Australian tree yielding a variegated tulipwood
HARPY	large black-and-white crested eagle of tropical America
HARPYBAT	any of various fruit bats of the genus Nyctimene distinguished by nostrils drawn out into diverging tubes
HARPYEAGLE	large black-and-white crested eagle of tropical America
HARQUEBUS	an obsolete firearm with a long barrel
HARRIDAN	a scolding (even vicious) old woman
HARRIED	troubled persistently especially with petty annoyances
HARRIER	hawks that hunt over meadows and marshes and prey on small terrestrial animals
HARRIEREAGLE	any of numerous large Old World hawks intermediate in some respects between typical hawks and typical eagles
HARRIETBEECHERSTOWE	United States writer of a novel about slavery that advanced the abolitionists' cause (1811-1896)
HARRIETWILSON	author of the first novel by an African American that was published in the United States (1825-1900)
HARRIMAN	United States railway tycoon (1848-1909)
HARRIS	publisher of the first newspaper printed in America (1673-1713)
HARRISBURG	capital of Pennsylvania; located in southern part of state
HARRISON	23rd President of the United States (1833-1901)
HARRISTWEED	a loosely woven tweed made in the Outer Hebrides
HARROD	English merchant who expanded his father's shop in London into a prestigious department store (1841-1905)
HARROW	draw a harrow over (land)
HARROWING	extremely painful
HARRY	make a pillaging or destructive raid on (a place), as in wartimes
HARRYBRIDGES	United States labor leader who organized the longshoremen (1901-1990)
HARRYFITCHKLEINFELTER	United States physician who first described the XXY-syndrome (born in 1912)
HARRYHOTSPUR	English soldier killed in a rebellion against Henry IV (1364-1403)
HARRYKLINEFELTER	United States physician who first described the XXY-syndrome (born in 1912)
HARRYLAUDER	Scottish ballad singer and music hall comedian (1870-1950)
HARRYLILLISCROSBY	United States singer and film actor (1903-1977)
HARRYSINCLAIRLEWIS	United States novelist who satirized middle-class America in his novel Main Street (1885-1951)
HARRYSTACKSULLIVAN	United States psychiatrist (1892-1949)
HARSH	sharply disagreeable; rigorous
HARSHEN	make harsh or harsher
HARSHLY	in a harsh and grating manner
HARSHNESS	excessive sternness
HARSHON	criticize harshly
HARSHVOICED	having an unusually harsh sound
HART	a male deer, especially an adult male red deer
HARTCRANE	United States poet (1899-1932)
HARTE	United States writer noted for his stories about life during the California gold rush (1836-1902)
HARTEBEEST	a large African antelope with lyre-shaped horns that curve backward
HARTLEY	English philosopher who introduced the theory of the association of ideas (1705-1757)
HARTSTONGUE	Eurasian fern with simple lanceolate fronds
HARTSTONGUEFERN	Eurasian fern with simple lanceolate fronds
HARUMSCARUM	in a wild or reckless manner
HARVARD	a university in Massachusetts
HARVARDUNIVERSITY	a university in Massachusetts
HARVEST	remove from a culture or a living or dead body, as for the purposes of transplantation
HARVESTER	farm machine that gathers a food crop from the fields
HARVESTFISH	butterfish up to a foot long of Atlantic waters from Chesapeake Bay to Argentina
HARVESTFLY	its distinctive song is heard during July and August
HARVESTHOME	the gathering of a ripened crop
HARVESTING	the gathering of a ripened crop
HARVESTLICE	erect perennial Old World herb of dry grassy habitats
HARVESTMAN	spiderlike arachnid with a small rounded body and very long thin legs
HARVESTMITE	larval mite that sucks the blood of vertebrates including human beings causing intense irritation
HARVESTMOON	the full moon nearest the September equinox
HARVESTMOUSE	small reddish-brown Eurasian mouse inhabiting e.g. cornfields
HARVESTTIME	the season for gathering crops
HARVEYWALLBANGER	a cocktail made of vodka or gin and orange juice and Galliano
HASBEEN	someone who is no longer popular
HASCHISCH	purified resinous extract of the hemp plant; used as a hallucinogen
HASEK	Czech author of novels and short stories (1883-1923)
HASH	chop up
HASHEESH	purified resinous extract of the hemp plant; used as a hallucinogen
HASHEMITEKINGDOMOFJORDAN	an Arab kingdom in southwestern Asia on the Red Sea
HASHHEAD	a user of hashish
HASHHOUSE	an inexpensive restaurant
HASHIMOTOSDISEASE	autoimmune disorder of the thyroid gland; most common in middle-aged women
HASHISH	purified resinous extract of the hemp plant; used as a hallucinogen
HASHMARK	an insignia worn to indicate years of service
HASHOUT	speak with others about (something); talk (something) over in detail; have a discussion
HASHOVER	go back over
HASID	a member of a Jewish sect that observes a form of strict Orthodox Judaism
HASIDIC	of or relating to the Jewish Hasidim or its members or their beliefs and practices
HASIDISM	beliefs and practices of a sect of Orthodox Jews
HASP	secure or lock with a hasp
HASSAM	United States painter noted for brilliant colors and bold brushwork (1859-1935)
HASSEL	Norwegian chemist noted for his research on organic molecules (1897-1981)
HASSID	a member of a Jewish sect that observes a form of strict Orthodox Judaism
HASSIDIC	of or relating to the Jewish Hasidim or its members or their beliefs and practices
HASSIDISM	beliefs and practices of a sect of Orthodox Jews
HASSIUM	a radioactive transuranic element, with atomic number 108
HASSLE	disorderly fighting
HASSOCK	a cushion for kneeling on (as when praying in church)
HASTATE	(of a leaf shape) like a spear point, with flaring pointed lobes at the base
HASTATELEAF	a leaf shaped like a spearhead with flaring pointed lobes at the base
HASTE	the act of moving hurriedly and in a careless manner
HASTEN	act at high speed
HASTILY	in a hurried or hasty manner
HASTINAPUR	city in India, described as a capital in Mahabharata
HASTINAPURA	city in India, described as a capital in Mahabharata
HASTINESS	hasty impulsiveness
HASTINGS	a town in East Sussex just to the south of the place where the battle of Hastings took place
HASTY	excessively quick
HASTYDEFENCE	a defense organized while in contact with the enemy or when time is limited
HASTYDEFENSE	a defense organized while in contact with the enemy or when time is limited
HASTYPUDDING	cornmeal mush served with sweetening (maple syrup or brown sugar)
HAT	put on or wear a hat
HATBAND	a band around the crown of a hat just above the brim
HATBOX	a round piece of luggage for carrying hats
HATCH	sit on (eggs)
HATCHBACK	a sloping rear car door that is lifted to open
HATCHBACKDOOR	a sloping rear car door that is lifted to open
HATCHECKGIRL	a female checker
HATCHED	shaded by means of fine parallel or crossed lines
HATCHEL	comb with a heckle
HATCHERY	a place where eggs are hatched under artificial conditions (especially fish eggs)
HATCHET	a small ax with a short handle used with one hand (usually to chop wood)
HATCHETJOB	a false accusation of an offense or a malicious misrepresentation of someone's words or actions
HATCHETMAN	a male professional killer
HATCHETWOMAN	a woman whose job it is to execute unpleasant tasks for a superior
HATCHING	shading consisting of multiple crossing lines
HATCHLING	any recently hatched animal (especially birds)
HATCHWAY	an entrance equipped with a hatch; especially a passageway between decks of a ship
HATE	dislike intensely; feel antipathy or aversion towards
HATED	treated with dislike or contempt
HATEFUL	evoking or deserving hatred
HATEFULLY	in a hateful manner
HATEFULNESS	the quality of being hateful
HATEMAIL	mail that expresses the writer's dislike or hatred (usually in offensive language)
HATEMONGER	one who arouses hatred for others
HATER	a person who hates
HATFUL	as many or as much as a hat will hold
HATHAWAY	wife of William Shakespeare (1556-1623)
HATIORA	small genus of South American epiphytic or lithophytic cacti
HATLESS	not wearing a hat
HATMAKER	someone who makes and sells hats
HATPIN	a long sturdy pin used by women to secure a hat to their hair
HATRACK	a rack with hooks for temporarily holding coats and hats
HATRED	the emotion of intense dislike; a feeling of dislike so strong that it demands action
HATSHOP	shop selling women's hats
HATTED	wearing a hat or a hat of a particular kind
HATTER	someone who makes and sells hats
HATTERASISLAND	a barrier island running parallel to the North Carolina shore
HATTIESBURG	a town in southeast Mississippi
HATTRICK	(sports) three consecutive scores by one player or three scores in one game (as in cricket or ice hockey etc.)
HAUBERK	a long (usually sleeveless) tunic of chain mail formerly worn as defensive armor
HAUGHTILY	in a haughty manner
HAUGHTINESS	overbearing pride evidenced by a superior manner toward inferiors
HAUGHTY	having or showing arrogant superiority to and disdain of those one views as unworthy
HAUL	the act of drawing or hauling something
HAULAGE	the act of drawing or hauling something
HAULAWAY	take away by means of a vehicle
HAULER	a haulage contractor
HAULIER	a haulage contractor
HAULING	the activity of transporting goods by truck
HAULM	stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding
HAULOFF	take away by means of a vehicle
HAULUP	come to a halt after driving somewhere
HAUNCH	the loin and leg of a quadruped
HAUNCHER	a machine for making shaped cuts in the end or along the edge of a board.
HAUNCHINGMACHINE	a machine for making shaped cuts in the end or along the edge of a board.
HAUNT	haunt like a ghost; pursue
HAUNTED	having or showing excessive or compulsive concern with something
HAUNTING	continually recurring to the mind
HAUSA	the chief member of the Chadic family of Afroasiatic languages; widely used as a trading language
HAUSEN	valuable source of caviar and isinglass; found in Black and Caspian seas
HAUSMANNITE	a mineral consisting of manganese tetroxide; a source of manganese
HAUSSA	the chief member of the Chadic family of Afroasiatic languages; widely used as a trading language
HAUSTORIUM	a root-like attachment in parasitic plants that penetrates and obtains food from the host
HAUTBOIS	a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
HAUTBOY	a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
HAUTECOUTURE	trend-setting fashions
HAUTECUISINE	(French) an elaborate and skillful manner of preparing food
HAUTENORMANDIE	a historical division of Normandy including Rouen
HAUTEUR	overbearing pride evidenced by a superior manner toward inferiors
HAVANA	the capital and largest city of Cuba; located in western Cuba; one of the oldest cities in the Americas
HAVASUPAI	the Yuman language spoken by the Havasupai
HAVASUPAILANGUAGE	the Yuman language spoken by the Havasupai
HAVE	cause to be born
HAVEABALL	enjoy oneself greatly
HAVEABUNINTHEOVEN	be pregnant with
HAVEAFIT	get very angry and fly into a rage
HAVEAGO	make an attempt at something
HAVEAGOATIT	have sexual intercourse with
HAVEAGOODTIME	enjoy oneself greatly
HAVEALOOK	look at with attention
HAVEDOWN	have (something) mastered
HAVEGOT	have or possess, either in a concrete or an abstract sense
HAVEINMIND	intend to refer to
HAVEINTERCOURSE	have sexual intercourse with
HAVEITAWAY	have sexual intercourse with
HAVEITCOMING	deserve (either good or bad)
HAVEITOFF	have sexual intercourse with
HAVEKITTENS	get very angry and fly into a rage
HAVEN	a shelter serving as a place of safety or sanctuary
HAVENOT	a person with few or no possessions
HAVEON	be dressed in
HAVERHILLFEVER	the form of ratbite fever occurring in the United States
HAVERSACK	a bag carried by a strap on your back or shoulder
HAVERSIANCANAL	any of the many tiny canals that contain blood vessels and connective tissue and that form a network in bone
HAVESEX	have sexual intercourse with
HAVETHEBEST	overcome, usually through no fault or weakness of the person that is overcome
HAVETHEDISTINCTION	be distinguished from others of a similar type by virtue of a notable characteristic
HAVETODOWITH	be relevant to
HAVEWORDS	censure severely or angrily
HAVEYOUNG	give birth to (a calf)
HAVOC	violent and needless disturbance
HAW	utter ‘haw’
HAWAII	a state in the United States in the central Pacific on the Hawaiian Islands
HAWAIIAN	of or relating to or characteristic of the state or island of Hawaii or to the people or culture or language
HAWAIIANCAPITAL	the capital and largest city of Hawaii; located on a large bay on the island of Oahu
HAWAIIANDANCING	a Polynesian rain dance performed by a woman
HAWAIIANGUITAR	guitar whose steel strings are twanged while being pressed with a movable steel bar for a glissando effect
HAWAIIANHONEYCREEPER	small to medium-sized finches of the Hawaiian islands
HAWAIIANISLANDS	a group of volcanic and coral islands in the central Pacific
HAWAIIANLANGUAGE	the Oceanic languages spoken on Hawaii
HAWAIIISLAND	the largest and southernmost of the Hawaii islands; has several volcanic peaks
HAWFINCH	a common large finch of Eurasia
HAWHAW	a ditch with one side being a retaining wall; used to divide lands without defacing the landscape
HAWK	clear mucus or food from one's throat
HAWKBILL	pugnacious tropical sea turtle with a hawk-like beak; source of food and the best tortoiseshell
HAWKBIT	any of various common wildflowers of the genus Leontodon; of temperate Eurasia to Mediterranean regions
HAWKER	a person who breeds and trains hawks and who follows the sport of falconry
HAWKEYED	having very keen vision
HAWKEYESTATE	a state in midwestern United States, with capital Des Moines
HAWKING	the act of selling goods for a living
HAWKINS	United States jazz saxophonist (1904-1969)
HAWKISH	disposed to warfare or hard-line policies
HAWKISHNESS	any political orientation favoring aggressive policies
HAWKMOTH	any of various moths with long narrow forewings capable of powerful flight and hovering over flowers to feed
HAWKNOSE	a nose curved downward like the beak of a hawk
HAWKOWL	grey-and-white diurnal hawk-like owl of northern parts of the Northern Hemisphere
HAWKSBILL	pugnacious tropical sea turtle with a hawk-like beak; source of food and the best tortoiseshell
HAWKSBILLTURTLE	pugnacious tropical sea turtle with a hawk-like beak; source of food and the best tortoiseshell
HAWKSHAW	someone who is a detective
HAWKWEED	any of various plants of the genus Pilosella
HAWSE	the hole that an anchor rope passes through
HAWSEHOLE	the hole that an anchor rope passes through
HAWSEPIPE	the hole that an anchor rope passes through
HAWSER	large heavy rope for nautical use
HAWSERBEND	a knot uniting the ends of two lines
HAWTHORN	a spring-flowering shrub or small tree of the genus Crataegus
HAWTHORNE	United States writer of novels and short stories mostly on moral themes (1804-1864)
HAY	convert (plant material) into hay
HAYBACILLUS	a species of bacillus found in soil and decomposing organic matter; some strains produce antibiotics
HAYBALE	a bale of hay
HAYCOCK	a small cone-shaped pile of hay that has been left in the field until it is dry enough to carry to the hayrick
HAYCONDITIONER	a farm machine that treats hay to cause more rapid and even drying
HAYDN	the music of Haydn
HAYEK	English economist (born in Austria) noted for work on the optimum allocation of resources (1899-1992)
HAYES	acclaimed actress of stage and screen (1900-1993)
HAYFEVER	a seasonal rhinitis resulting from an allergic reaction to pollen
HAYFORK	a long-handled fork for turning or lifting hay
HAYING	the season for cutting and drying and storing grass as fodder
HAYINGTIME	the season for cutting and drying and storing grass as fodder
HAYLOFT	a loft in a barn where hay is stored
HAYMAKER	a hard punch that renders the opponent unable to continue boxing
HAYMAKING	cutting grass and curing it to make hay
HAYMOW	a loft in a barn where hay is stored
HAYRACK	a frame attached to a wagon to increase the amount of hay it can carry
HAYREDDINBARBAROSSA	Barbary pirate (died in 1546)
HAYRICK	a stack of hay
HAYRIG	a frame attached to a wagon to increase the amount of hay it can carry
HAYS	the largest city in northwestern Kansas
HAYSCENTED	fern of eastern North America with pale green fronds and an aroma like hay
HAYSCENTEDFERN	fern of eastern North America with pale green fronds and an aroma like hay
HAYSEED	a person who is not very intelligent or interested in culture
HAYSTACK	a stack of hay
HAYTI	an island in the West Indies
HAYWIRE	not functioning properly
HAZARD	put forward, of a guess, in spite of possible refutation
HAZARDIA	small genus of shrubs and subshrubs of western United States having flowers that change color as they mature
HAZARDIACANA	western American shrubs having white felted foliage and yellow flowers that become red-purple
HAZARDINSURANCE	insurance that provides protection against certain risks such as storms or fires
HAZARDOUS	involving risk or danger
HAZARDOUSLY	in a dangerous manner
HAZARDOUSNESS	the state of being dangerous
HAZE	harass by imposing humiliating or painful tasks, as in military institutions
HAZEL	of a light brown or yellowish brown color
HAZELALDER	common shrub of the eastern United States with smooth bark
HAZELBROWN	of brown tinged with hazel
HAZELMOUSE	a variety of dormouse
HAZELNUT	nut of any of several trees of the genus Corylus
HAZELNUTTREE	any of several shrubs or small trees of the genus Corylus bearing edible nuts enclosed in a leafy husk
HAZELTREE	Australian tree grown especially for ornament and its fine-grained wood and bearing edible nuts
HAZELWOOD	reddish-brown wood and lumber from heartwood of the sweet gum tree used to make furniture
HAZEOVER	make less visible or unclear
HAZILY	in an indistinct way
HAZINESS	cloudiness resulting from haze or mist or vapor
HAZLITT	English essayist and literary critic (1778-1830)
HAZMAT	an abbreviation for ‘hazardous material’ used on warning signs
HAZY	filled or abounding with fog or mist
HDTV	a television system that has more than the usual number of lines per frame so its pictures show more detail
HEAD	oral stimulation of the genitals
HEADACHE	something or someone that causes anxiety; a source of unhappiness
HEADACHEPOWDER	a powdered form of aspirin
HEADANDSHOULDERSABOVE	outstandingly superior to
HEADBAND	a band worn around or over the head
HEADBLIGHT	a blight of the heads of cereals
HEADBOARD	a vertical board or panel forming the head of a bedstead
HEADBUTT	butt with the head
HEADCANON	A personal version of the fantasy world from popular media
HEADCHEESE	sausage or jellied loaf made of chopped parts of the head meat and sometimes feet and tongue of a calf or pig
HEADCOLD	a common cold affecting the nasal passages and resulting in congestion and sneezing and headache
HEADCOUNT	number of people in a particular group
HEADCOUNTER	someone who conducts surveys of public opinion
HEADCOVERING	a garment that covers the head and face
HEADDRESS	clothing for the head
HEADED	having a head of a specified kind or anything that serves as a head; often used in combination
HEADER	a headlong jump (or fall)
HEADFAST	a mooring line that secures the bow of a boat or ship to a wharf
HEADFIRST	with the head foremost
HEADFORTHEHILLS	flee; take to one's heels; cut and run
HEADFUL	a covering over the surface of your head
HEADGAME	the act of deluding; deception by creating illusory ideas
HEADGASKET	a gasket to seal a cylinder head
HEADGATE	a gate upstream from a lock or canal that is used to control the flow of water at the upper end
HEADGEAR	clothing for the head
HEADHOME	return home
HEADHONCHO	an important influential person
HEADHUNTER	a savage who cuts off and preserves the heads of enemies as trophies
HEADINESS	The characteristic of being intoxicating or stupefying.
HEADING	a horizontal (or nearly horizontal) passageway in a mine
HEADINTHECLOUDS	guided by whim and fancy
HEADLAMP	a powerful light with reflector; attached to the front of an automobile or locomotive
HEADLAND	a natural elevation (especially a rocky one that juts out into the sea)
HEADLESS	not having a head or formed without a head
HEADLETTUCE	distinguished by leaves arranged in a dense rosette that develop into a compact ball
HEADLICE	infestation of the scalp with lice
HEADLIGHT	a powerful light with reflector; attached to the front of an automobile or locomotive
HEADLIKE	having a protuberance that resembles a head
HEADLINE	publicize widely or highly, as if with a headline
HEADLINER	a performer who receives prominent billing
HEADLINESE	using the abbreviated style of headline writers
HEADLINESMAN	a male football official in charge of recording yardage gained or lost
HEADLINESPERSON	a football official in charge of recording yardage gained or lost
HEADLINESWOMAN	a female football official in charge of recording yardage gained or lost
HEADLONG	with the head foremost
HEADLOUSE	infests the head and body of humans
HEADMAN	a male executioner who beheads the condemned person
HEADMASTER	presiding officer of a school
HEADMASTERSHIP	the position of headmaster
HEADMISTRESS	a woman headmaster
HEADMISTRESSSHIP	the position of headmistress
HEADNURSE	the person in charge of nursing in a medical institution
HEADOFHAIR	growth of hair covering the scalp of a human being
HEADOFHOUSEHOLD	the head of a household or family or tribe
HEADOFSTATE	the chief public representative of a country who may also be the head of government
HEADON	meeting front to front
HEADOVERHEELS	in disorderly haste
HEADPIECE	a protective helmet for the head
HEADPIN	the front bowling pin in the triangular arrangement of ten pins
HEADQUARTER	provide with headquarters
HEADQUARTERS	the military installation from which a commander performs the functions of command
HEADQUARTERSSTAFF	military staff stationed at headquarters
HEADRACE	a waterway that feeds water to a mill or water wheel or turbine
HEADREGISTER	the higher ranges of the voice in speaking or singing; the vibrations of sung notes are felt in the head
HEADREST	a rest for the head
HEADRESTRAINT	a cushion attached to the top of the back of an automobile's seat to prevent whiplash
HEADRHYME	use of the same consonant at the beginning of each stressed syllable in a line of verse
HEADROOM	the capacity of a system to reproduce loud sounds without distortion
HEADSAIL	any sail set forward of the foremast of a vessel
HEADSCARF	a kerchief worn over the head and tied under the chin
HEADSEA	a sea in which the waves are running directly against the course of the ship
HEADSET	receiver consisting of a pair of headphones
HEADSHAKE	the act of turning your head left and right to signify denial or disbelief or bemusement
HEADSHAKING	the act of turning your head left and right to signify denial or disbelief or bemusement
HEADSHIP	the position of head
HEADSHOP	a shop specializing in articles of interest to drug users
HEADSHOT	a shot aimed at a person's head
HEADSHRINKER	a savage who cuts off and preserves the heads of enemies as trophies
HEADSMAN	a male executioner who beheads the condemned person
HEADSMUT	smut fungus attacking heads of corn or sorghum and causing a covered smut
HEADSPACE	the volume left at the top of a filled container (bottle or jar or tin) before sealing
HEADSPRING	the source of water from which a stream arises
HEADSTALL	the band that is the part of a bridle that fits around a horse's head
HEADSTAND	an acrobatic feat in which a person balances on the head (usually with the help of the hands)
HEADSTART	the advantage gained by beginning early (as in a race)
HEADSTAY	the farthest forward forestay that runs from the bow or bowsprit to the top of the mast.
HEADSTONE	a stone that is used to mark a grave
HEADSTREAM	a stream that forms the source of a river
HEADSTRONG	habitually disposed to disobedience and opposition
HEADSUP	fully alert and watchful
HEADSWOMAN	a female executioner who beheads the condemned person
HEADTEACHER	the educator who has executive authority for a school
HEADTOHEAD	even or close in a race or competition or comparison
HEADTONE	the higher ranges of the voice in speaking or singing; the vibrations of sung notes are felt in the head
HEADTRIP	the act of satisfying your own desires and giving yourself pleasure
HEADUP	be the first or leading member of (a group) and excel
HEADVOICE	the higher ranges of the voice in speaking or singing; the vibrations of sung notes are felt in the head
HEADWAITER	a dining-room attendant who is in charge of the waiters and the seating of customers
HEADWATER	the source of a river
HEADWAY	forward movement
HEADWIND	wind blowing opposite to the path of a ship or aircraft
HEADWOMAN	a female head of a tribe or clan
HEADWORD	(grammar) the word in a grammatical constituent that plays the same grammatical role as the whole constituent
HEADY	marked by defiant disregard for danger or consequences
HEAL	provide a cure for, make healthy again
HEALALL	common woodland herb of temperate North America having yellow nodding flowers and small round blue fruits
HEALED	freed from illness or injury
HEALER	a person skilled in a particular type of therapy
HEALING	tending to cure or restore to health
HEALINGHERB	leaves make a popular tisane; young leaves used in salads or cooked
HEALTH	the general condition of body and mind
HEALTHCARE	social insurance for the ill and injured
HEALTHCAREDELIVERY	the provision of health care
HEALTHCAREFACILITY	building where medicine is practiced
HEALTHCAREPROVIDER	a person who helps in identifying or preventing or treating illness or disability
HEALTHCLUB	a place of business with equipment and facilities for exercising and improving physical fitness
HEALTHCODE	set of standards established and enforced by government for health requirements as in plumbing etc
HEALTHFACILITY	building where medicine is practiced
HEALTHFOOD	any natural or prepared food popularly believed to promote good health
HEALTHFUL	conducive to good health of body or mind
HEALTHFULNESS	the quality of promoting good health
HEALTHHAZARD	hazard to the health of those exposed to it
HEALTHIER	improved in health or physical condition
HEALTHILY	in a levelheaded manner
HEALTHINESS	the state of being vigorous and free from bodily or mental disease
HEALTHINSURANCE	insurance against loss due to ill health
HEALTHPROBLEM	a state in which you are unable to function normally and without pain
HEALTHPROFESSION	the body of individuals whose work helps to maintain the health of their clients
HEALTHPROFESSIONAL	a person who helps in identifying or preventing or treating illness or disability
HEALTHSPA	a place of business with equipment and facilities for exercising and improving physical fitness
HEALTHY	large in amount or extent or degree
HEAP	fill to overflow
HEAPS	very much
HEAPUP	arrange into piles or stacks
HEAR	get to know or become aware of, usually accidentally
HEARABLE	heard or perceptible by the ear
HEARD	detected or perceived by the sense of hearing
HEARER	someone who listens attentively
HEARING	able to perceive sound
HEARINGAID	a conical acoustic device formerly used to direct sound to the ear of a hearing-impaired person
HEARINGDISORDER	impairment of the sense of hearing
HEARINGDOG	dog trained to assist the deaf by signaling the occurrence of certain sounds
HEARINGIMPAIRED	having a hearing loss
HEARINGIMPAIRMENT	impairment of the sense of hearing
HEARINGLOSS	partial or complete loss of hearing
HEARKEN	listen; used mostly in the imperative
HEAROUT	listen to every detail and give a full hearing to
HEARSAY	heard through another rather than directly
HEARSAYEVIDENCE	evidence based on what someone has told the witness and not of direct knowledge
HEARSAYRULE	a rule that declares not admissible as evidence any statement other than that by a witness
HEART	a playing card in the major suit that has one or more red hearts on it
HEARTACHE	intense sorrow caused by loss of a loved one (especially by death)
HEARTANDSOUL	with complete faith
HEARTATTACK	a sudden severe instance of abnormal heart function
HEARTBEAT	an animating or vital unifying force
HEARTBREAK	intense sorrow caused by loss of a loved one (especially by death)
HEARTBREAKER	a narrow defeat or a defeat at the last minute
HEARTBREAKING	causing or marked by grief or anguish
HEARTBROKEN	full of sorrow
HEARTBURNING	intense resentment
HEARTCHERRY	large heart-shaped sweet cherry with soft flesh
HEARTDISEASE	a disease of the heart
HEARTEN	give encouragement to
HEARTENING	cheerfully encouraging
HEARTFAILURE	inability of the heart to pump enough blood to sustain normal bodily functions
HEARTFELT	sincerely earnest
HEARTH	an open recess in a wall at the base of a chimney where a fire can be built
HEARTHEALTHY	of foods that are low in fats and sodium and other ingredients that may foster heart disease
HEARTHMONEY	an annual contribution made by Roman Catholics to support the papal see
HEARTHRUG	a rug spread out in front of a fireplace
HEARTHSTONE	a stone that forms a hearth
HEARTILY	with gusto and without reservation
HEARTINESS	the quality of hearty sincerity
HEARTLEAF	wild ginger having persistent heart-shaped pungent leaves; West Virginia to Alabama
HEARTLEAFMANZANITA	erect California shrub having leaves with heart-shaped lobes at the base
HEARTLEAVEDASTER	perennial wood aster of eastern North America
HEARTLESS	lacking in feeling or pity or warmth
HEARTLESSLY	in a heartless manner
HEARTLESSNESS	an absence of concern for the welfare of others
HEARTLINE	a crease on the palm; palmists say it indicates your emotional nature
HEARTMONITOR	a piece of electronic equipment for continual observation of the function of the heart
HEARTMURMUR	an abnormal sound of the heart; sometimes a sign of abnormal function of the heart valves
HEARTMUSCLE	the muscle tissue of the heart; adapted to continued rhythmic contraction
HEARTRATE	the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
HEARTRENDING	causing or marked by grief or anguish
HEARTRHYTHM	the rhythm of a beating heart
HEARTROT	any plant disease in which the central part of a plant rots (especially in trees)
HEARTS	a form of whist in which players avoid winning tricks containing hearts or the queen of spades
HEARTSEASE	the absence of mental stress or anxiety
HEARTSEED	herbaceous vine of tropical America and Africa
HEARTSHAPED	(of a leaf) shaped like a heart
HEARTSICK	without or almost without hope
HEARTSICKNESS	feeling downcast and disheartened and hopeless
HEARTSPECIALIST	a specialist in cardiology; a specialist in the structure and function and disorders of the heart
HEARTSTRINGS	your deepest feelings of love and compassion
HEARTSURGEON	a specialist in cardiology; a specialist in the structure and function and disorders of the heart
HEARTSURGERY	any surgical procedure involving the heart
HEARTTHROB	an object of infatuation
HEARTTOHEART	openly straightforward and direct without reserve or secretiveness
HEARTURCHIN	sea urchin having a heart-shaped body in a rigid spiny shell
HEARTVALVE	an implant that replaces a natural cardiac valve
HEARTVENTRICLE	a chamber of the heart that receives blood from an atrium and pumps it to the arteries
HEARTWARMING	causing gladness and pleasure
HEARTWHOLE	with unconditional and enthusiastic devotion
HEARTY	deeply felt
HEAT	make hot or hotter
HEATABLE	capable of becoming hot
HEATABSORBING	(of a chemical reaction or compound) occurring or formed with absorption of heat
HEATBARRIER	a limit to high speed flight imposed by aerodynamic heating
HEATCAPACITYRATIO	the ratio of the heat capacity at constant pressure (C_P) to heat capacity at constant volume (C_V).
